Sentence,Organizations
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Company,certified In, 
the Company,certified In,2020
the Company,certified as,a ‘Great Workplace
the ‘Best Life Insurer,named for,the seventh consecutive year
the Bank,made in,Sri Lanka
the Bank,made in,Sri Lanka
the Bank,made in,Sri Lanka
the Bank,made in,Sri Lanka
the National Roadmap for Digitalisation of Payment Services,align by,enabling
the National Roadmap for Digitalisation of Payment Services,align by,enabling
 NDB Bank,chosen for,its extensive domain expertise
OneConnect,chosen for,its extensive domain expertise
 NDB Bank,chosen for,its extensive domain expertise
OneConnect,chosen for,its extensive domain expertise
 The Norwegian Investment Fund,focuses on,profitable businesses
FIU,  The Financial Intelligence Unit of,the Central Bank of Sri Lanka
FIU,  The Financial Intelligence Unit of,the Central Bank of Sri Lanka
FIU,  The Financial Intelligence Unit of,the Central Bank of Sri Lanka
FIU,  The Financial Intelligence Unit of,the Central Bank of Sri Lanka
Gunasekara The Bank of Ceylon,recorded by,reaching
BOC,expanded From, 
BOC,expanded From,its very first branch
BOC,expanded From, 
BOC,expanded From,its very first branch
BOC,expanded From, 
BOC,expanded From,its very first branch
Bank of Ceylon,taken In, 
Bank of Ceylon,taken In,terms
BOC,expanded In, 
BOC,expanded In,addition
BOC,expanded beyond,"2,000-mark"
BOC,expanded over,the last year
BOC,expanded In, 
BOC,expanded In,addition
BOC,expanded beyond,"2,000-mark"
BOC,expanded over,the last year
BOC,expanded In, 
BOC,expanded In,addition
BOC,expanded beyond,"2,000-mark"
BOC,expanded over,the last year
 Sentiments,vary with,calling
 Sentiments,vary with,","
 The Private Placement,priced at,a premium
 The Private Placement,priced to,the Rights Price
 The Private Placement,priced at,a premium
 The Private Placement,priced to,the Rights Price
the Bangladesh Central Bank,opt for,this loan
the Bangladesh Central Bank,opt for,this loan
the Bangladesh Central Bank,opt for,deviating
the Bangladesh Central Bank,opt for,deviating
the Bangladesh Central Bank,opt for,deviating
the Guarantee of SL Government’,the amount of,dollars
the Guarantee of SL Government’,the amount of,dollars
 The BCB,grant at,2% interest
Union Assurance,forges Despite, 
Union Assurance,forges Despite,the ambiguity
  First Capital Holdings PLC,recorded After,Tax
(PAT,Tax of,$ 2.09 billion
(PAT,Tax for,the financial year 2020/21
  First Capital Holdings PLC,recorded After,Tax
(PAT,Tax of,$ 2.09 billion
(PAT,Tax for,the financial year 2020/21
First Capital Holdings PLC,upgraded to,[
First Capital Holdings PLC,upgraded to,SL]A
First Capital Holdings PLC,upgraded to,[
First Capital Holdings PLC,upgraded to,SL]A
First Capital Holdings PLC,upgraded to,[
First Capital Holdings PLC,upgraded to,SL]A
The First Capital Holdings Board of Directors,comprises of,Chairman Nishan Fernando
The First Capital Holdings Board of Directors,comprises of,Chairman Nishan Fernando
PLC,branched Since, 
PLC,branched Since,its inception
PLC,branched to,every part
Auto Loans,offering at,competitive interest rates
Auto Loans,offering at,competitive interest rates
Auto Loans,offering at,competitive interest rates
PLC,hold as,a benchmark
PLC,hold as,a benchmark
PLC,hold as,a benchmark
 The Group,consists of,five subsidiaries
 The Group,consists of,five subsidiaries
POS,point of,-
POS,point of,sale
The Bank of Ceylon,commenced in,January
  European Union,flags outside,the EU Commission headquarters
  European Union,flags outside,the EU Commission headquarters
  European Union,flags outside,the EU Commission headquarters
  European Union,flags outside,the EU Commission headquarters
 KPMG, KPMG in,Sri Lanka Principal Advisory Ajantha
 KPMG, KPMG in,Sri Lanka Principal Advisory Ajantha
 KPMG, KPMG in,Sri Lanka Principal Advisory Ajantha
Bourse,commenced in,the green territory
Bourse,commenced following,three consecutive sessions
The ASPI,slumped during,the initial minutes
the ASPI,declining to,an intra-day low
the ASPI,declining to,an intra-day low
the ASPI,closed in,green
the ASPI,closed as,a result
the ASPI,closed in,green
the ASPI,closed as,a result
the ASPI,closed in,green
the ASPI,closed as,a result
the ASPI,closed in,green
the ASPI,closed as,a result
the ASPI,closed in,green
the ASPI,closed as,a result
 Expolanka Holdings,included amongst,the top turnover contributors
  Sampath Bank Head Office Climbs,ranked amongst,10
  Sampath Bank Head Office Climbs,ranked in,the country
  Sampath Bank Head Office Climbs,ranked according,to
  Sampath Bank Head Office Climbs,ranked amongst,10
  Sampath Bank Head Office Climbs,ranked in,the country
  Sampath Bank Head Office Climbs,ranked according,to
  Sampath Bank Head Office Climbs,ranked amongst,10
  Sampath Bank Head Office Climbs,ranked in,the country
  Sampath Bank Head Office Climbs,ranked according,to
  Sampath Bank Head Office Climbs,ranked amongst,10
  Sampath Bank Head Office Climbs,ranked in,the country
  Sampath Bank Head Office Climbs,ranked according,to
  Sampath Bank Head Office Climbs,ranked amongst,10
  Sampath Bank Head Office Climbs,ranked in,the country
  Sampath Bank Head Office Climbs,ranked according,to
Sampath Bank,climbed In, 
Sampath Bank,climbed In,this year
Sampath Bank,climbed In,’s
Sampath Bank,climbed to,7th place
Sampath Bank,climbed from,its previous ranking
Sampath Bank,climbed In, 
Sampath Bank,climbed In,this year
Sampath Bank,climbed In,’s
Sampath Bank,climbed to,7th place
Sampath Bank,climbed from,its previous ranking
 The Bank,ranked among,Top
the Bank,introduced Over, 
the Bank,introduced Over,the years
the Bank,introduced Over, 
the Bank,introduced Over,the years
 FMO,worked with,Nations Trust Bank
 FMO,worked since,2004
the Bank,provide with,access
 FMO,worked with,Nations Trust Bank
 FMO,worked since,2004
the Bank,provide with,access
 FMO,worked with,Nations Trust Bank
 FMO,worked since,2004
the Bank,provide with,access
Nations Trust Bank,boost By, 
Nations Trust Bank,boost By,contributing
Nations Trust Bank,boost to,various underserved segments
Nations Trust Bank,boost By, 
Nations Trust Bank,boost By,contributing
Nations Trust Bank,boost to,various underserved segments
Nations Trust Bank,boost By, 
Nations Trust Bank,boost By,contributing
Nations Trust Bank,boost to,various underserved segments
Nations Trust Bank,engaged Towards, 
Nations Trust Bank,engaged Towards,achieving
Nations Trust Bank,engaged with,all SME businesses
Nations Trust Bank,disbursed from,partnering
Nations Trust Bank,disbursed towards,the internally generated fund
Nations Trust Bank,disbursed from,partnering
Nations Trust Bank,disbursed towards,the internally generated fund
 Grayscale Investments,announced under,management
 Grayscale Investments,announced in,excess
 Grayscale Investments,announced with,"over 500,000 BTC"
 Grayscale Investments,announced in,its Trust Funds
 Grayscale Investments,announced with,the majority
 Grayscale Investments,announced under,management
 Grayscale Investments,announced in,excess
 Grayscale Investments,announced with,"over 500,000 BTC"
 Grayscale Investments,announced in,its Trust Funds
 Grayscale Investments,announced with,the majority
 MSTR,announced in,June 2020
"38,250 BTC",purchased worth,$ 425 million
"38,250 BTC",purchased at,"11,111"
HNBA,Speaking at,the event
HNBA,Speaking at,the event
HNBA,Speaking at,the event
HNBA,Speaking at,the event
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
  Union Assurance PLC,recognised as,the Fastest Growing Life Insurance Brand
Digital Insurance Company of the,Most Innovative Life Insurance Brand for,2021
Digital Insurance Innovation,Most Innovative Life Insurance Brand for,2021
"the COVID-19 pandemic, Union Assurance",harnessed Despite, 
"the COVID-19 pandemic, Union Assurance",harnessed Despite,the challenges
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.8 billion
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.8 billion
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
 HNB Solo merchant Manoj Rathnapriya,presented with,a QR code
HNB Senior Banking Associate,looks on,  
 HNB Solo merchant Manoj Rathnapriya,presented with,a QR code
HNB Senior Banking Associate,looks on,  
 HNB Solo merchant Manoj Rathnapriya,presented with,a QR code
HNB Senior Banking Associate,looks on,  
CDS,positioned With, 
CDS,positioned With,the numerous contributions
CDS,positioned as,the key infrastructure enabler
CDS,placed with,an extensive experience
CDS,placed in,a globally renowned disposition
CDS,advanced by,launching
CDS,advanced by,launching
CDS,offered In, 
CDS,offered In,striving
 CDS,handled to,some
 CDS,handled to,some
 CDS,handled to,some
  Asia Asset Finance PLC,gained with,resilience
  Asia Asset Finance PLC,gained with,resilience
  Asia Asset Finance PLC,gained with,resilience
  Asia Asset Finance PLC,gained with,resilience
  Asia Asset Finance PLC,gained with,resilience
 Policyholders,download from,the Google Play Store
 Policyholders,download for,android users
 Policyholders,download for,and
 Policyholders,download for,from
 Policyholders,download from,the Google Play Store
 Policyholders,download for,android users
 Policyholders,download for,and
 Policyholders,download for,from
digital,is At,Allianz
digital,is at,the very core
digital,is At,Allianz
digital,is at,the very core
NDB,achieved amidst,challenging conditions
 NDB,limited to,financial results
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
 NDB,crowned as,Sri Lanka
NDB Group,positioned towards,assisting
Maliyadde,neglected in,the recent past
Maliyadde,missed in,his write-up
NBER,conducted under,the direction
NBER,conducted under,the direction
Maliyadde,dragged into,his discussion
Central Bank of Sri Lanka,Emeritus Professor in,Economics
Central Bank of Sri Lanka,Emeritus Professor at,University of Sri Lanka
Central Bank of Sri Lanka,Emeritus Professor in,Economics
Central Bank of Sri Lanka,Emeritus Professor at,University of Sri Lanka
Central Bank of Sri Lanka,Emeritus Professor in,Economics
Central Bank of Sri Lanka,Emeritus Professor at,University of Sri Lanka
 Congratulating Chrissworld, Congratulating Chrissworld for,taking
 Congratulating Chrissworld, Congratulating Chrissworld for,taking
 Congratulating Chrissworld, Congratulating Chrissworld for,taking
Chrissworld,congratulated on,achieving
Chrissworld,congratulated on,achieving
Chrissworld,congratulated on,achieving
Small and Medium Enterprises,list on,the CSE
Small and Medium Enterprises,list on,the CSE
Small and Medium Enterprises,list on,the CSE
the Bank for Everyone,launched in,response
the Bank for Everyone,launched in,response
DFCC Bank,allows In, 
DFCC Bank,allows In,the case
DFCC Bank,allows In, 
DFCC Bank,allows In,the case
DFCC Bank,offers As, 
DFCC Bank,offers As,an added convenience
DFCC Bank,offers at,your doorstep service
DFCC Bank,offers As, 
DFCC Bank,offers As,an added convenience
DFCC Bank,offers at,your doorstep service
MBSL,said In, 
MBSL,said In,a statement
 The Net Interest Income,increased to,$ 718 million
 The Net Interest Income,increased from,$ 422 million
 The Net Interest Income,increased in,the first quarter of 2020
"Deposit Mobilisation, Savings",include through,a widespread network
"Deposit Mobilisation, Savings",include through,a widespread network
"Deposit Mobilisation, Savings",include through,a widespread network
"Deposit Mobilisation, Savings",include through,a widespread network
  Citizens Development Business Finance PLC,empowering by,providing
  Citizens Development Business Finance PLC,empowering by,providing
(PAT,Tax of,$ 4.7 billion
(PAT,Tax during,the first quarter of 2021
(PAT,Tax of,$ 4.7 billion
(PAT,Tax during,the first quarter of 2021
PBT,were At, 
PBT,were At,the group level
PBT,were at,$ 5.9 billion
HNB,demonstrated during,a year
(PBT, Profit Before,Taxes
Liquidity Coverage,ratios at,39.98%
Liquidity Coverage,ratios against,a 20% requirement
Liquidity Coverage,ratios at,39.98%
Liquidity Coverage,ratios against,a 20% requirement
Liquidity Coverage,ratios at,39.98%
Liquidity Coverage,ratios against,a 20% requirement
a PAT,a PBT of,$ 5.9 billion
a PAT,a PBT of,$ 5.9 billion
 HNB,is among,the Top 1000 Banks
 HNB,is as,per
 HNB,is among,the Top 1000 Banks
 HNB,is as,per
 HNB,is among,the Top 1000 Banks
 HNB,is as,per
 HNB,is among,the Top 1000 Banks
 HNB,is as,per
Accordingly,reached in,Q1 2021
Accordingly,reached compared,to
PBT,reached in,Q1 2021
PBT,reached compared,to
Operating Profit before VAT on Financial Services,an 18% YOY growth Operating Profit before VAT on,Financial Services
the NPA,improving from,the 2020 year end position
Net NPA,reduced from,1.4%
Net NPA,reduced from,to
gross NPA,declined from,4.0% to 3.3%
the NPA,improving from,the 2020 year end position
Net NPA,reduced from,1.4%
Net NPA,reduced from,to
gross NPA,declined from,4.0% to 3.3%
Amãna Bank,was built,upon
Amãna Bank,recognised with,three prestigious awards
Amãna Bank,recognised with,three prestigious awards
 Amãna Bank,affirmed amongst,Sri Lanka
 Amãna Bank,affirmed amongst,Sri Lanka
Amãna Bank,adjudicate as,the ‘Best CSR Bank
Amãna Bank,adjudicate as,the ‘Best CSR Bank
Amãna Bank,adjudicate as,the ‘Best CSR Bank
attune Lanka Ltd.,a suitable partner for,its subsidiary
attune Lanka Ltd.,a suitable partner for,its subsidiary
attune Lanka Ltd.,a suitable partner for,its subsidiary
MAS Holdings,concluded on,4 May.
MAS Holdings,concluded on,4 May.
MAS Holdings,concluded on,4 May.
MAS Holdings,concluded on,4 May.
MAS Holdings,concluded on,4 May.
MAS Holdings,help in,the successful and seamless completion
MAS Holdings,help in,the successful and seamless completion
the Bank,advised in,the divestment
MAS Holdings,advised in,the divestment
the Bank,advised In, 
the Bank,advised In,addition
the Bank,advised in,recent years
the Bank,advised in,the divestment
the Bank,advised in,the divestment
MAS Holdings,advised in,the divestment
the Bank,advised In, 
the Bank,advised In,addition
the Bank,advised in,recent years
the Bank,advised in,the divestment
the Bank,advised in,the divestment
MAS Holdings,advised in,the divestment
the Bank,advised In, 
the Bank,advised In,addition
the Bank,advised in,recent years
the Bank,advised in,the divestment
the Bank,advised in,the divestment
MAS Holdings,advised in,the divestment
the Bank,advised In, 
the Bank,advised In,addition
the Bank,advised in,recent years
the Bank,advised in,the divestment
the Bank,advised in,the divestment
MAS Holdings,advised in,the divestment
the Bank,advised In, 
the Bank,advised In,addition
the Bank,advised in,recent years
the Bank,advised in,the divestment
Google,launched with,remittances firms
Google,launched with,remittances firms
 Google,foray in,the $ 470 billion remittance market
Western Union,remains with,a sprawling global network
 The NDB Group,placed on,a steadfast growth trajectory
Accordingly,raised through,the Rights Issue
NDB,pursuing in,the near and medium term
 Contribution, Contribution to,the community
 Contribution, Contribution to,the community
 NDB,remains whilst,generating
Team NDB,geared With, 
Team NDB,geared With,brewing
Team NDB,geared With, 
Team NDB,geared With,brewing
 Deepthie Wickramasuriya,appointed as,Independent Non-Executive Director
 Deepthie Wickramasuriya,appointed with,effect
 Deepthie Wickramasuriya,appointed as,Independent Non-Executive Director
 Deepthie Wickramasuriya,appointed with,effect
 Deepthie Wickramasuriya,appointed as,Independent Non-Executive Director
 Deepthie Wickramasuriya,appointed with,effect
 Deepthie Wickramasuriya,appointed as,Independent Non-Executive Director
 Deepthie Wickramasuriya,appointed with,effect
 Deepthie Wickramasuriya,appointed as,Independent Non-Executive Director
 Deepthie Wickramasuriya,appointed with,effect
Deepthie Wickramasuriya,serves With, 
Deepthie Wickramasuriya,serves With,over 35 years
Deepthie Wickramasuriya,serves as,an independent consultant
Deepthie Wickramasuriya,serves With, 
Deepthie Wickramasuriya,serves With,over 35 years
Deepthie Wickramasuriya,serves as,an independent consultant
Deepthie Wickramasuriya,serves With, 
Deepthie Wickramasuriya,serves With,over 35 years
Deepthie Wickramasuriya,serves as,an independent consultant
Deepthie Wickramasuriya,serves With, 
Deepthie Wickramasuriya,serves With,over 35 years
Deepthie Wickramasuriya,serves as,an independent consultant
 Amana Takaful Insurance,renowned for,its innovative solutions
Corporate Finance,a senior Investment Banker with,over two decades
Corporate Finance,a senior Investment Banker in,areas
Corporate Finance,a senior Investment Banker with,over two decades
Corporate Finance,a senior Investment Banker in,areas
Corporate Finance,a senior Investment Banker with,over two decades
Corporate Finance,a senior Investment Banker in,areas
Corporate Finance,a senior Investment Banker with,over two decades
Corporate Finance,a senior Investment Banker in,areas
 Sharhan,holds from,Western Michigan University
 Sharhan,holds from,Western Michigan University
 Sharhan,holds from,Western Michigan University
 Sharhan,holds from,Western Michigan University
Amana Takaful Life Insurance,join as,a Director
Mastercard,saw In, 
Mastercard,saw In,the first quarter of 2021
Mastercard,saw compared,as
Mastercard,saw compared,to
Mastercard,saw with,particular momentum
Allianz Insurance Lanka Head,seen from,left
Allianz Insurance Lanka Head,seen from,left
Allianz Insurance Lanka Head,seen from,left
Allianz Insurance Lanka Head,seen from,left
Allianz Insurance Lanka Ltd.,Commenting on,the partnership
  Union Assurance CEO Jude Gomes Union Assurance PLC,named for,2021
the ‘Best Customer Service Insurance Provider’,named for,2021
  Union Assurance CEO Jude Gomes Union Assurance PLC,named for,2021
the ‘Best Customer Service Insurance Provider’,named for,2021
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.8 billion
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 43.8 billion
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
 BOC,extends to,other areas
 BOC,extends with,totalling
 Commercial Bank,honoured with,the European Quality Award
 Commercial Bank,honoured for,the high quality
 Commercial Bank,honoured with,the European Quality Award
 Commercial Bank,honoured for,the high quality
MoneyGram,waive Under, 
MoneyGram,waive Under,this joint promotion
MoneyGram,waive Under, 
MoneyGram,waive Under,this joint promotion
Commercial Bank,be With, 
Commercial Bank,be With,this promotion
Commercial Bank,be in,addition
Commercial Bank,be With, 
Commercial Bank,be With,this promotion
Commercial Bank,be in,addition
Commercial Bank,be With, 
Commercial Bank,be With,this promotion
Commercial Bank,be in,addition
BlackRock,voted against,more company directors
BlackRock,voted against,more company directors
BlackRock,said in,a separate piece
BlackRock,said given,the misalignment
BlackRock,said in,a separate piece
BlackRock,said given,the misalignment
BlackRock,said In, 
BlackRock,said In,addition
BlackRock,said In, 
BlackRock,said In,addition
BlackRock,taking since,2020
BlackRock,said For, 
BlackRock,said For,instance
BlackRock,said on,Wednesday
BlackRock,said For, 
BlackRock,said For,instance
BlackRock,said on,Wednesday
BlackRock,said Among, 
BlackRock,said Among,other things
BlackRock,voted at,which
BlackRock,voted on,"more than 21,000 proposals"
NDBIB,advised Despite, 
NDBIB,advised Despite,the challenging business environment
NDBIB,advised on,a mammoth $ 37.4 billion
Daintee Limited,the divestiture of,the market leading confectionery company
Daintee Limited,the divestiture of,the market leading confectionery company
the ‘Best Investment Bank,secure for,nine consecutive years
the ‘Best Investment Bank,secure for,nine consecutive years
the ‘Best Investment Bank,secure for,nine consecutive years
NDBIB,strategizing in,Even
NDBIB,strategizing in,the face
  Amãna Bank,held on,a virtual platform
  Amãna Bank,held on,a virtual platform
our AGM,hosted on,a virtual platform
our AGM,hosted in,especially
our AGM,hosted in,a period
our AGM,hosted on,a virtual platform
our AGM,hosted in,especially
our AGM,hosted in,a period
People’s Insurance, This strategic move as,the insurer
People’s Insurance PLC Head,commented on,this new development
People’s Insurance PLC Head,commented on,this new development
As People’s Insurance PLC,has in,the minds
The Board of Directors,decide on,exercised
The Board of Directors,decide on,exercised
The Board of Directors,decide on,exercised
SSP Corporates Services Ltd.,", the managers to",the Issue
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
the Department of Registrations In,flanked the Department of Registrations In,an effort
DFCC Bank,signed with,the Department for Registration of Persons
DFCC Bank,enable provided,provides
DFCC Bank,enable provided,provides
DFCC Bank,view in,order
DFCC Bank,view in,order
DFCC Bank,view in,order
DFCC Bank,view in,order
DFCC Bank,view in,order
DFCC Bank,Standing as,one
DFCC Bank,Standing as,one
the Bank,continues down,the pathway
  Seylan Bank Director/CEO Kapila Ariyaratne Seylan Bank PLC,reaffirmed by,securing
  Seylan Bank Director/CEO Kapila Ariyaratne Seylan Bank PLC,reaffirmed by,securing
  Seylan Bank Director/CEO Kapila Ariyaratne Seylan Bank PLC,reaffirmed by,securing
 Seylan Bank,moved from,last year
 Seylan Bank,moved after,a solid performance
 Seylan Bank,operates with,a vision
 Seylan Bank,operates with,a vision
 Seylan Bank,endorsed as,a financially stable organisation
 Seylan Bank,endorsed as,a financially stable organisation
 Seylan Bank,named in,consecutively
 Seylan Bank,named in,2019
the Most Popular Banking Service Provider,named in,consecutively
the Most Popular Banking Service Provider,named in,2019
 Seylan Bank,named in,consecutively
 Seylan Bank,named in,2019
the Most Popular Banking Service Provider,named in,consecutively
the Most Popular Banking Service Provider,named in,2019
 Seylan Bank,named in,consecutively
 Seylan Bank,named in,2019
the Most Popular Banking Service Provider,named in,consecutively
the Most Popular Banking Service Provider,named in,2019
the Bank of Ceylon (BOC,installed in,the Central Province
the Bank of Ceylon (BOC,installed in,the Central Province
the Bank of Ceylon (BOC,installed in,the Central Province
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
Key Profitability Indicators,provisioning among,best
a Post-Tax Profit,a Pre-Tax Profit of,$ 986 million
 The bank’s Post-Tax Profits,gained to,an extent
 The bank’s Post-Tax Profits,gained to,an extent
Best Bank for,award by,the Global Banking & Finance Awards
Best Bank for,award by,the Global Banking & Finance Awards
Pan Asia Bank,played In, 
Pan Asia Bank,played In,addition
the IESBA,developed In, 
the IESBA,developed In,support
Bases for Conclusions,developed In, 
Bases for Conclusions,developed In,support
the IESBA,developed In, 
the IESBA,developed In,support
Bases for Conclusions,developed In, 
Bases for Conclusions,developed In,support
the IESBA,developed In, 
the IESBA,developed In,support
Bases for Conclusions,developed In, 
Bases for Conclusions,developed In,support
 NDB,raising via,a Rights Issue
 NDB,raising via,a Rights Issue
First Capital,said In, 
First Capital,said In,a research report
First Capital,said In, 
First Capital,said In,a research report
First Capital,said In, 
First Capital,said In,a research report
First Capital,said In, 
First Capital,said In,a research report
NDB,announced with,the announcement
NDB,announced with,the announcement
NDB,expects With, 
NDB,expects With,the proposed RI
NDB,expects in,the short term
NDB,expects in,the short term
Fair Value,estimated at,110.0
Fair Value,estimated due,to
Fair Value,estimated due,the dilution
Fair Value,estimated at,110.0
Fair Value,estimated due,to
Fair Value,estimated due,the dilution
MasterCard,collects from,such transactions
 CDB,placing at,the forefront
The Commercial Bank of Ceylon,won in,2021
the ‘Best Digital Transformation in Banking’,won in,2021
The Commercial Bank of Ceylon,won in,2021
the ‘Best Digital Transformation in Banking’,won in,2021
The Commercial Bank of Ceylon,won in,2021
the ‘Best Digital Transformation in Banking’,won in,2021
the Emirates Islamic Bank of UAE,Deutsche Bank in,the Philippines
the Gulf Bank,the MBSB Bank in,Malaysia
the Emirates Islamic Bank of UAE,Deutsche Bank in,the Philippines
the Gulf Bank,the MBSB Bank in,Malaysia
the Emirates Islamic Bank of UAE,Deutsche Bank in,the Philippines
the Gulf Bank,the MBSB Bank in,Malaysia
the Emirates Islamic Bank of UAE,Deutsche Bank in,the Philippines
the Gulf Bank,the MBSB Bank in,Malaysia
the Emirates Islamic Bank of UAE,Deutsche Bank in,the Philippines
the Gulf Bank,the MBSB Bank in,Malaysia
 The evaluating Awards Committee,consists of,the publisher
StanChart,looking past,short-term improvements
StanChart,are among,the potential bidders
StanChart,are among,the potential bidders
StanChart,are among,the potential bidders
StanChart,are among,the potential bidders
StanChart,are among,the potential bidders
StanChart,release Unlike, 
StanChart,release Unlike,other British-based lenders
StanChart,release Unlike, 
StanChart,release Unlike,other British-based lenders
StanChart,release Unlike, 
StanChart,release Unlike,other British-based lenders
HNB,was among,the first financial institutions
General Industries Ltd,a Director of,Paints
General Industries Ltd,a Director of,Paints
General Industries Ltd,a Director of,Paints
General Industries Ltd,a Director of,Paints
General Industries Ltd,a Director of,Paints
Browns Group of Companies PLC,also the Group Chief Operating Officer from,2010-2014
Browns Group of Companies PLC,also the Group Chief Operating Officer from,2010-2014
Browns Group of Companies PLC,also the Group Chief Operating Officer from,2010-2014
Browns Group of Companies PLC,also the Group Chief Operating Officer from,2010-2014
Browns Group of Companies PLC,also the Group Chief Operating Officer from,2010-2014
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
LB Finance,  Signing of,the MoU
LB Finance,  Signing with,senior officials
FIU,the Financial Intelligence Unit of,the Central Bank of Sri Lanka
FIU,the Financial Intelligence Unit of,the Central Bank of Sri Lanka
FIU,the Financial Intelligence Unit of,the Central Bank of Sri Lanka
 “DRP,embarked upon,the significant national initiative
 “DRP,embarked upon,the significant national initiative
 “DRP,embarked upon,the significant national initiative
LB Finance,realise at,the point
LB Finance,realise at,the point
LB Finance,realise at,the point
LB Finance,seen From, 
LB Finance,seen From,its humble beginnings
 Hans Wijayasuriya NDB Bank,honoured at,the Best Corporate Citizen Sustainability Awards
 Hans Wijayasuriya NDB Bank,honoured with,two awards
 Hans Wijayasuriya NDB Bank,honoured at,the annual event
 Hans Wijayasuriya NDB Bank,honoured at,the Best Corporate Citizen Sustainability Awards
 Hans Wijayasuriya NDB Bank,honoured with,two awards
 Hans Wijayasuriya NDB Bank,honoured at,the annual event
 Hans Wijayasuriya NDB Bank,honoured at,the Best Corporate Citizen Sustainability Awards
 Hans Wijayasuriya NDB Bank,honoured with,two awards
 Hans Wijayasuriya NDB Bank,honoured at,the annual event
 NDB,been for,over four decades
 NDB,been with,a value creation strategy
Organisational Effectiveness and Efficiency Program, The bank under,the sponsorship
NDB,aims Through, 
NDB,aims Through,the bank
NDB,aims Through,initiative
NDB,aims with,the aim
NDB,made Over, 
NDB,made Over,the years
NDB,made in,the Sri Lankan financial services sector
NDB,made as,a leading commercial bank
